id,stateabb,ccode,year,major
973,SVG,57,1984,0
974,SVG,57,1985,0
975,SVG,57,1986,0
976,SVG,57,1987,0
977,SVG,57,1988,0
978,SVG,57,1989,0
979,SVG,57,1990,0
980,SVG,57,1991,0
981,SVG,57,1992,0
982,SVG,57,1993,0
983,SVG,57,1994,0
984,SVG,57,1995,0
985,SVG,57,1996,0
986,SVG,57,1997,0
987,SVG,57,1998,0
988,SVG,57,1999,0
989,SVG,57,2000,0
990,SVG,57,2001,0
991,SVG,57,2002,0
992,SVG,57,2003,0
993,SVG,57,2004,0
994,SVG,57,2005,0
995,SVG,57,2006,0
996,SVG,57,2007,0
997,SVG,57,2008,0
998,SVG,57,2009,0
999,SVG,57,2010,0
1000,SVG,57,2011,0
1001,SVG,57,2012,0
1002,SVG,57,2013,0
1003,SVG,57,2014,0
1004,AAB,58,1981,0
1005,AAB,58,1982,0
1006,AAB,58,1983,0
1007,AAB,58,1984,0
1008,AAB,58,1985,0
1009,AAB,58,1986,0
1010,AAB,58,1987,0
1011,AAB,58,1988,0
1012,AAB,58,1989,0
1013,AAB,58,1990,0
1014,AAB,58,1991,0
1015,AAB,58,1992,0
1016,AAB,58,1993,0
1017,AAB,58,1994,0
1018,AAB,58,1995,0
1019,AAB,58,1996,0
1020,AAB,58,1997,0
1021,AAB,58,1998,0
1022,AAB,58,1999,0
1023,AAB,58,2000,0
1024,AAB,58,2001,0
1025,AAB,58,2002,0
1026,AAB,58,2003,0
1027,AAB,58,2004,0
1028,AAB,58,2005,0
1029,AAB,58,2006,0
1030,AAB,58,2007,0
1031,AAB,58,2008,0
1032,AAB,58,2009,0
1033,AAB,58,2010,0
1034,AAB,58,2011,0
1035,AAB,58,2012,0
1036,AAB,58,2013,0
1037,AAB,58,2014,0
1038,SKN,60,1983,0
1039,SKN,60,1984,0
1040,SKN,60,1985,0
1041,SKN,60,1986,0
1042,SKN,60,1987,0
1043,SKN,60,1988,0
1044,SKN,60,1989,0
1045,SKN,60,1990,0
