stateabb,ccode,year,democ,autoc,polity,polity2
SIN,830,1970,0,4,-4,-4
SIN,830,1971,0,4,-4,-4
SIN,830,1972,0,4,-4,-4
SIN,830,1973,0,4,-4,-4
SIN,830,1974,0,4,-4,-4
SIN,830,1975,0,4,-4,-4
SIN,830,1976,0,4,-4,-4
SIN,830,1977,0,4,-4,-4
SIN,830,1978,0,4,-4,-4
SIN,830,1979,0,4,-4,-4
SIN,830,1980,0,4,-4,-4
SIN,830,1981,0,4,-4,-4
SIN,830,1982,0,4,-4,-4
SIN,830,1983,0,4,-4,-4
SIN,830,1984,0,4,-4,-4
SIN,830,1985,0,4,-4,-4
SIN,830,1986,0,4,-4,-4
SIN,830,1987,0,4,-4,-4
SIN,830,1988,0,4,-4,-4
SIN,830,1989,0,4,-4,-4
SIN,830,1990,0,4,-4,-4
SIN,830,1991,0,4,-4,-4
SIN,830,1992,0,4,-4,-4
SIN,830,1993,0,4,-4,-4
SIN,830,1994,0,4,-4,-4
SIN,830,1995,0,4,-4,-4
SIN,830,1996,0,4,-4,-4
SIN,830,1997,0,4,-4,-4
SIN,830,1998,0,4,-4,-4
SIN,830,1999,0,4,-4,-4
SIN,830,2000,0,4,-4,-4
SIN,830,2001,0,4,-4,-4
SIN,830,2002,0,4,-4,-4
SIN,830,2003,0,4,-4,-4
SIN,830,2004,0,4,-4,-4
SIN,830,2005,2,4,-2,-2
SIN,830,2006,2,4,-2,-2
SIN,830,2007,2,4,-2,-2
SIN,830,2008,2,4,-2,-2
SIN,830,2009,2,4,-2,-2
SIN,830,2010,2,4,-2,-2
SIN,830,2011,2,4,-2,-2
SIN,830,2012,2,4,-2,-2
SIN,830,2013,2,4,-2,-2
